"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"1020","DM$developer: jacky lu© iqpon.cn",-2.058,0.833,-2.472,0.013,-3.691,-0.426
"1021","DM$developer: James Blunt© 经典儿歌视频",-1.295,0.83,-1.56,0.119,-2.922,0.332
"1022","DM$developer: James Mao© 2013 KiwiIslandStudio",-2.463,0.525,-4.691,0,-3.492,-1.434
"1023","DM$developer: Jamey Tweet© xuanyou",-0.698,0.542,-1.289,0.197,-1.76,0.363
"1024","DM$developer: Jason Lee© 2010-2012 LaluzAPP,LLC",-0.51,0.594,-0.858,0.391,-1.674,0.654
"1025","DM$developer: Jason Luo© 司马迁等",-0.797,0.516,-1.544,0.123,-1.809,0.215
"1026","DM$developer: Jason Luo© iReading",0.069,0.556,0.124,0.901,-1.02,1.158
"1027","DM$developer: JCEntertainment Corporation© 2011-2012 JCE All rights reserved",-0.869,0.522,-1.665,0.096,-1.892,0.154
"1028","DM$developer: jean-claude Cottier© Jean-Claude Cottier (Ovogame)",-1.007,0.675,-1.49,0.136,-2.331,0.317
"1029","DM$developer: Jeremy Orlando© Rocketcat LLC 2012",0.128,0.676,0.189,0.85,-1.197,1.453
"1030","DM$developer: Jerry Li© Jerry Li",-0.509,0.573,-0.888,0.375,-1.633,0.615
"1031","DM$developer: Jesse Manuel© 2012 Jericho Games",0.131,0.512,0.256,0.798,-0.872,1.134
"1032","DM$developer: JFDP Labs",0.54,0.617,0.875,0.381,-0.669,1.75
"1033","DM$developer: Jhon Belle© Jhon Belle",-0.045,0.53,-0.085,0.933,-1.084,0.994
"1034","DM$developer: Ji Aijun© Pumppy Interactive 2012",-0.776,0.616,-1.26,0.208,-1.983,0.431
"1035","DM$developer: Jia Yan Sun© Eyo Games",-1.72,0.542,-3.171,0.002,-2.783,-0.657
"1036","DM$developer: Jian Zhang© GameCapsule Studio 2012.",-1.113,0.675,-1.648,0.099,-2.436,0.21
"1037","DM$developer: jiang yinghao© 北京木仓科技有限公司",-0.845,0.543,-1.556,0.12,-1.909,0.22
"1038","DM$developer: Jiangsu Phoenix Uread Information Technology Co., Ltd.© Jiangsu Phoenix Uread Information Technology Co., Ltd.",-1.8,0.548,-3.287,0.001,-2.873,-0.726
"1039","DM$developer: JianWei YuCopyright © 2011 OceanMedia",-0.548,0.551,-0.995,0.32,-1.629,0.532
"1040","DM$developer: Jiayan Sun© Beijing ICESPAR Information Technology Co.,Ltd",-3.395,0.512,-6.635,0,-4.398,-2.392
"1041","DM$developer: JIE LI© 2012 Hiyou Inc.",-1.317,0.499,-2.636,0.008,-2.296,-0.338
"1042","DM$developer: Jie Zhou© 2012 KHIX Studio",-1.859,0.826,-2.249,0.025,-3.478,-0.239
"1043","DM$developer: JIN JUN MIAO© Child School",-0.659,0.502,-1.313,0.189,-1.642,0.324
"1044","DM$developer: Jing Wang© 2012 Daily Yoga Inc.",-0.538,0.552,-0.975,0.329,-1.62,0.544
"1045","DM$developer: Jingfeng Lu© Chunfen.com",0.259,0.547,0.474,0.636,-0.814,1.332
"1046","DM$developer: Jingsi Liu© 2012 啪啪",-1.362,0.549,-2.482,0.013,-2.438,-0.287
"1047","DM$developer: Jinqi Yang© 无忧移动",-2.113,0.544,-3.888,0,-3.179,-1.048
"1048","DM$developer: JINWEN KAI© RedInfinity",-1.36,0.499,-2.725,0.006,-2.339,-0.382
"1049","DM$developer: jiumei ma© 2012 Pocket Elements.",-1.744,0.501,-3.483,0,-2.726,-0.763
"1050","DM$developer: JJWorld(Beijing) network technology Co., LTDCopyright © 2007-2008 JJWorld(Beijing) Network Technology Company Limited",-0.368,0.503,-0.731,0.465,-1.354,0.618
"1051","DM$developer: jobsowen",-2.231,0.589,-3.787,0,-3.386,-1.077
"1052","DM$developer: jodyu",-0.024,0.663,-0.036,0.971,-1.324,1.276
"1053","DM$developer: Joe Kauffman© Joe Kauffman",-0.914,0.512,-1.783,0.075,-1.918,0.09
"1054","DM$developer: joel simkhai© Grindr LLC - 2012",0.58,0.51,1.137,0.256,-0.42,1.579
"1055","DM$developer: John Hartzog© 2010 John Hartzog",0.961,0.542,1.773,0.076,-0.102,2.024
"1056","DM$developer: John Jiang© VPNVIP Ltd.",-0.411,0.521,-0.79,0.43,-1.432,0.609
"1057","DM$developer: John Smith© Ginkgo Tech",0.53,0.528,1.005,0.315,-0.504,1.565
"1058","DM$developer: Johnie Lowe",-0.265,0.596,-0.444,0.657,-1.434,0.904
"1059","DM$developer: Johnny Teng© 成都逗溜网科技有限公司",-1.631,0.592,-2.755,0.006,-2.791,-0.471
"1060","DM$developer: Jonathan Young© olimsoft",0.181,0.503,0.359,0.719,-0.804,1.165
"1061","DM$developer: Joshua Smith© Tappple",-0.41,0.528,-0.776,0.438,-1.445,0.626
"1062","DM$developer: JoyBits Co Ltd.© 2010-2011, JoyBits Ltd.",0.024,0.541,0.045,0.964,-1.037,1.086
"1063","DM$developer: JPMorgan Chase",-0.115,0.596,-0.192,0.847,-1.284,1.054
"1064","DM$developer: JPMorgan Chase Bank, NA© 2012 JPMorgan Chase & Co.",0.065,0.549,0.118,0.906,-1.012,1.141
"1065","DM$developer: Juan Geng© VPNFIRE Ltd.",-0.374,0.624,-0.6,0.548,-1.596,0.848
"1066","DM$developer: Juan Liu© 2012 Colorfulphone",-0.249,0.549,-0.454,0.65,-1.324,0.826
"1067","DM$developer: Juangua network Co., Ltd. Hangzhou© 2012 mogujie.com",-1.035,0.624,-1.658,0.097,-2.259,0.189
"1068","DM$developer: Juangua network Co., Ltd. Hangzhou© 2013 mogujie.com",-1.221,0.834,-1.464,0.143,-2.856,0.414
"1069","DM$developer: Jump Games Private Ltd© ""Real Steel"" is a trademark and copyright of DreamWorks II Distribution Co., LLC All rights reserved.",-0.255,0.493,-0.517,0.605,-1.222,0.712
"1070","DM$developer: Justin.tv, Inc© Justin.tv, Inc.",0.315,0.518,0.609,0.543,-0.701,1.332
"1071","DM$developer: K-Factor Media, LLC",-0.213,0.663,-0.322,0.748,-1.512,1.086
"1072","DM$developer: K-Factor Media, LLC.© K-Factor Media, LLC",-0.614,0.509,-1.206,0.228,-1.613,0.384
"1073","DM$developer: K&K design",0.386,0.598,0.645,0.519,-0.787,1.558
"1074","DM$developer: Kai Xia© 2012 Langki",-0.195,0.56,-0.348,0.728,-1.293,0.903
"1075","DM$developer: KAI ZHANG© Yourdream.cc",-2.581,0.561,-4.601,0,-3.681,-1.481
"1076","DM$developer: Kaiparasoft Ltd© 2012 Kaiparasoft dba Ninja Kiwi",-2.345,0.511,-4.594,0,-3.346,-1.345
"1077","DM$developer: Kairosoft Co.,Ltd",0.964,0.859,1.122,0.262,-0.72,2.649
"1078","DM$developer: Kairosoft Co.,Ltd© (C)KAIROSOFT CO.,LTD. All Rights Reserved.",-0.881,0.676,-1.302,0.193,-2.207,0.445
"1079","DM$developer: Kaiyiti network technology (beijing) Co., Ltd.© 2012 kaiyiti ltd.",-2.163,0.503,-4.301,0,-3.148,-1.177
"1080","DM$developer: kakao",1.322,0.596,2.216,0.027,0.153,2.491
"1081","DM$developer: KAMAGAMES LTD© KAMAGAMES LTD",-1.603,0.492,-3.257,0.001,-2.567,-0.638
"1082","DM$developer: Kang DongHyuk© ColonO",-0.508,0.576,-0.883,0.377,-1.637,0.62
"1083","DM$developer: Kappboom Inc.© Kappboom, Inc.",0.2,0.503,0.398,0.691,-0.786,1.185
"1084","DM$developer: Karateka LLC© 2012 Karateka LLC",0.014,0.519,0.026,0.979,-1.003,1.031
"1085","DM$developer: Karol Sluszniak© 2012 Cloudless Studio",-2.285,0.596,-3.834,0,-3.453,-1.117
"1086","DM$developer: Kascend, Inc. (开迅科技)",1.229,0.62,1.983,0.047,0.015,2.444
"1087","DM$developer: Katzou Ly© 2012 MobileChops LLC",-0.167,0.826,-0.202,0.84,-1.785,1.451
"1088","DM$developer: Kayak Software Corp© 2012 Kayak Software Corp",-0.905,0.521,-1.735,0.083,-1.927,0.117
"1089","DM$developer: Kdan Mobile Software LTD© 2009-2012 Kdan Mobile Software Ltd. All Rights Reserved.",-0.065,0.83,-0.078,0.937,-1.692,1.562
"1090","DM$developer: Ke Chai© 2012 yoloho.com",-0.738,0.562,-1.312,0.189,-1.839,0.364
"1091","DM$developer: Keek Inc.",0.684,0.72,0.951,0.342,-0.726,2.095
"1092","DM$developer: Keek Inc.© 2012 Keek Inc",-1.867,0.549,-3.398,0.001,-2.943,-0.79
"1093","DM$developer: Keeper Security, Inc.",1.347,0.862,1.563,0.118,-0.342,3.036
"1094","DM$developer: Keiss Media",0.622,0.597,1.042,0.298,-0.549,1.793
"1095","DM$developer: Kerosene LLC© Luma Arcade LLC",-1.729,0.827,-2.091,0.037,-3.351,-0.108
"1096","DM$developer: Kevin Cao© 2012 qairapp.com",-0.321,0.624,-0.515,0.607,-1.543,0.901
"1097","DM$developer: Kevin Fingster© 2012 i'm Studio",-1.707,0.519,-3.291,0.001,-2.724,-0.69
"1098","DM$developer: Kevin Yang© 2011 Tap4Fun",-1.072,0.49,-2.188,0.029,-2.033,-0.112
"1099","DM$developer: Kevin Yang© 2012 Tap4Fun",-0.966,0.495,-1.953,0.051,-1.935,0.004
"1100","DM$developer: Kevin Yang© Tap4Fun",-1.019,0.495,-2.058,0.04,-1.99,-0.049
"1101","DM$developer: Keyloft LLC© 2012 Keyloft LLC",-0.595,0.5,-1.19,0.234,-1.576,0.386
"1102","DM$developer: Khush Inc.© 2012 Khush Inc.",1.097,0.543,2.018,0.044,0.031,2.162
"1103","DM$developer: Kids Games Club© Kids Games Club 2012",0.084,0.511,0.164,0.869,-0.917,1.085
"1104","DM$developer: Kik Interactive",-0.985,0.596,-1.652,0.099,-2.153,0.184
"1105","DM$developer: KIK INTERACTIVE INC.© 2012 Kik Interactive Inc",-1.503,0.549,-2.735,0.006,-2.58,-0.426
"1106","DM$developer: Kiloo©Kiloo Games & Sybo Games 2012-13",-1.532,0.488,-3.142,0.002,-2.488,-0.576
"1107","DM$developer: King.com Limited© King.com Limited 2011-12. All rights reserved.",-1.696,0.486,-3.487,0,-2.649,-0.742
"1108","DM$developer: Kingdee Personal Finance Technology Co., Ltd.© Feidee.com",-0.65,0.559,-1.163,0.245,-1.745,0.445
"1109","DM$developer: Kingdee Software (China) Co., Ltd.© 金蝶国际",-0.616,0.559,-1.103,0.27,-1.711,0.479
"1110","DM$developer: Kingdee Software (China) Co., Ltd.© kingdee",-1.077,0.519,-2.075,0.038,-2.094,-0.06
"1111","DM$developer: Kingdee Software (China) Co., Ltd.© Kingdee Software (China) Co., Ltd.",-0.722,0.507,-1.424,0.154,-1.717,0.272
"1112","DM$developer: KingFighter",-0.249,0.629,-0.396,0.692,-1.482,0.983
"1113","DM$developer: Kingly Software Inc© 2011 Kingly Games",-1.157,0.501,-2.309,0.021,-2.139,-0.175
"1114","DM$developer: Kingsoft Inc.",0.277,0.589,0.47,0.638,-0.877,1.431
"1115","DM$developer: Kingsoft Internet Security Co.,Ltd© Kingsoft Internet Security Co.,Ltd",-0.303,0.531,-0.57,0.569,-1.344,0.739
"1116","DM$developer: Kingsoft Office Software Corporation Limited",0.247,0.579,0.427,0.67,-0.888,1.383
"1117","DM$developer: Kiragames Co., Ltd.",-0.31,0.589,-0.526,0.599,-1.464,0.845
"1118","DM$developer: Kiwi, Inc.",0.822,0.589,1.395,0.163,-0.333,1.976
"1119","DM$developer: Konami Digital Entertainment Co., Ltd.© 2011 Konami Digital Entertainment",-0.49,0.826,-0.593,0.553,-2.109,1.129
"1120","DM$developer: KONGZHONG (CHINA) CORPORATION© KONGZHONG",-1.165,0.519,-2.245,0.025,-2.182,-0.148
"1121","DM$developer: KONGZHONG (CHINA) CORPORATION© KONGZHONG CORPORATION",-0.824,0.507,-1.624,0.104,-1.818,0.171
"1122","DM$developer: Koramgame.com© Copyright 2011-2012 koramgame.com, all rights reserved",-0.715,0.515,-1.387,0.166,-1.725,0.296
"1123","DM$developer: Kumobius Pty Ltd© 2012 Kumobius Pty Ltd",-1.525,0.521,-2.925,0.003,-2.546,-0.503
"1124","DM$developer: Kun Yang© Goatmen",-1.799,0.522,-3.445,0.001,-2.823,-0.775
"1125","DM$developer: Kuwo Beijing Co., Ltd.© 北京酷我科技有限公司",-2.292,0.521,-4.396,0,-3.314,-1.27
"1126","DM$developer: Lai Jinchun© Blackbean Team",0.286,0.536,0.535,0.593,-0.764,1.337
"1127","DM$developer: Lake Effect Applications, LLC© 2012 Lake Effect Applications, LLC",-0.233,0.49,-0.475,0.635,-1.193,0.728
"1128","DM$developer: LAKOO GAMES LIMITED© 2010 Lakoo",-1.789,0.566,-3.163,0.002,-2.898,-0.68
"1129","DM$developer: LAKOO GAMES LIMITED© 2012 Lakoo",0.161,0.826,0.195,0.845,-1.458,1.78
"1130","DM$developer: Lamian",-0.324,0.596,-0.544,0.586,-1.493,0.844
"1131","DM$developer: Laminar Research",0.483,0.589,0.819,0.413,-0.673,1.638
"1132","DM$developer: Lan hang technology .Co© 2011 Lv1 Inc.",-1.012,0.497,-2.038,0.042,-1.986,-0.039
"1133","DM$developer: Lan hang technology .Co© 2012 Lv1 Inc.",-1.487,0.528,-2.819,0.005,-2.521,-0.453
"1134","DM$developer: Lantean Studio",0.831,0.663,1.253,0.21,-0.469,2.131
"1135","DM$developer: LDW Software, LLC© 2009 LDW Software, LLC",0.224,0.565,0.397,0.692,-0.884,1.332
"1136","DM$developer: LDW Software, LLC© 2012 LDW Software, LLC",-0.327,0.502,-0.651,0.515,-1.311,0.658
"1137","DM$developer: Lediaitong Technology Co., Ltd.© 2011 RedAtoms Inc.",-0.381,0.491,-0.775,0.438,-1.343,0.582
"1138","DM$developer: Lediaitong Technology Co., Ltd.© 2012 RedAtoms Inc.",-1.232,0.49,-2.514,0.012,-2.193,-0.271
"1139","DM$developer: Ledinsky Software GmbH© 2012 Ledinsky Software GmbH",-0.485,0.618,-0.785,0.432,-1.696,0.726
"1140","DM$developer: Lee YuFan© @ 2012 YuFanApp",-0.155,0.56,-0.277,0.781,-1.253,0.942
"1141","DM$developer: LEHO Online(Beijing)Network Technology Limited© 苹果推荐",-1.46,0.544,-2.686,0.007,-2.526,-0.395
"1142","DM$developer: Lei ZengCopyright © 2012 Rin Studio. All Rights Reserved",-0.382,0.513,-0.744,0.457,-1.389,0.624
"1143","DM$developer: Lei Zhao© 2012 Logic Ball Inc.",-1.041,0.675,-1.541,0.123,-2.365,0.283
"1144","DM$developer: Leif K-Brooks© 2012 Leif K-Brooks",0.43,0.551,0.781,0.435,-0.65,1.51
"1145","DM$developer: Leon Fan© 2010 Leon Fan",0.301,0.593,0.508,0.611,-0.861,1.464
"1146","DM$developer: Leon Fan© 2011 Leon Fan",0.155,0.518,0.299,0.765,-0.86,1.171
"1147","DM$developer: Leping Li© Leping Li",-0.021,0.549,-0.039,0.969,-1.098,1.055
"1148","DM$developer: letv Information Technology(Beijing)Co.,Ltd© 乐视网信息技术(北京)股份有限公司",-0.246,0.547,-0.451,0.652,-1.318,0.826
"1149","DM$developer: letv Information Technology(Beijing)Co.,Ltd© www.letv.com",-0.588,0.516,-1.138,0.255,-1.6,0.425
"1150","DM$developer: Lextel Technology",0.366,0.597,0.613,0.54,-0.804,1.536
"1151","DM$developer: Leyo",-1.936,0.594,-3.258,0.001,-3.101,-0.771
"1152","DM$developer: Li Hong© 2012 Newness World",-1.1,0.553,-1.99,0.047,-2.184,-0.017
"1153","DM$developer: li huatang© 2011-2012 Rainbird",-0.159,0.55,-0.289,0.773,-1.236,0.918
"1154","DM$developer: Li Jian min© Sword!",-3.313,0.551,-6.016,0,-4.392,-2.233
"1155","DM$developer: LI TINGBINCopyright © 2012 ACC",-1.368,0.832,-1.644,0.1,-2.999,0.263
"1156","DM$developer: Li Yang© 2012 littlepipi",-0.953,0.831,-1.147,0.251,-2.582,0.675
"1157","DM$developer: li yingjie© Great Hall",-0.169,0.571,-0.297,0.767,-1.289,0.951
"1158","DM$developer: Liang Changlin© Liang Changlin",-1.943,0.552,-3.521,0,-3.024,-0.861
"1159","DM$developer: LiangBangChuangYe Investment Consulting Co Ltd© WiSTONE.COM",-2.937,0.51,-5.756,0,-3.936,-1.937
"1160","DM$developer: LifeChurch.tv© 2008-2012 LifeChurch.tv",-0.414,0.52,-0.796,0.426,-1.432,0.605
"1161","DM$developer: Lifelike Apps, Inc© Lifelike apps Inc.",0.352,0.624,0.565,0.572,-0.871,1.575
"1162","DM$developer: Lifestyle Press© LifeStyle Press",-1.351,0.552,-2.447,0.014,-2.433,-0.269
"1163","DM$developer: LIFEWEEK© Inforgence Group",-0.538,0.55,-0.979,0.328,-1.615,0.539
"1164","DM$developer: LiLi Tao© Cairot Studio,Beijing,China",-1.05,0.496,-2.118,0.034,-2.022,-0.078
"1165","DM$developer: Lima Sky© 2011 Lima Sky LLC",-0.049,0.508,-0.097,0.923,-1.046,0.947
"1166","DM$developer: Lima Sky© 2011 Lima Sky, LLC",-0.893,0.509,-1.756,0.079,-1.891,0.104
"1167","DM$developer: Lima Sky© 2012 Lima Sky LLC",-0.179,0.585,-0.307,0.759,-1.325,0.966
"1168","DM$developer: Limbic Software, Inc.© 2012 Limbic Software, Inc.",0.175,0.542,0.323,0.746,-0.888,1.239
"1169","DM$developer: Limbic Software, Inc.© Limbic Software, Inc.",0.346,0.5,0.693,0.489,-0.634,1.327
"1170","DM$developer: Limit Point Software© 2011 Limit Point LLC",-1.002,0.551,-1.818,0.069,-2.082,0.078
"1171","DM$developer: LIN CHENG SHAN© The CSL-Games",-1.43,0.826,-1.731,0.083,-3.05,0.189
"1172","DM$developer: lin ella© imeet, 2012",0.621,0.83,0.749,0.454,-1.005,2.247
"1173","DM$developer: Lin Fei© FizApp",-0.627,0.834,-0.753,0.452,-2.261,1.006
"1174","DM$developer: Lin Huan© 2011 Lin Huan",-0.46,0.507,-0.907,0.364,-1.453,0.533
"1175","DM$developer: Lin Xue© AoShiChuangXiang 2012",-0.673,0.51,-1.319,0.187,-1.673,0.327
"1176","DM$developer: Ling Ling Mak© Mak Ling Ling Feng Shui Consultant Company",-0.865,0.572,-1.513,0.13,-1.986,0.255
"1177","DM$developer: Ling Ling Xie© LTZ TEAM.",0.125,0.519,0.24,0.81,-0.893,1.142
"1178","DM$developer: lingdong.mobi.feike",0.359,0.607,0.591,0.554,-0.831,1.548
"1179","DM$developer: LinkedIn Corporation© 2012 LinkedIn Corporation",-0.632,0.52,-1.216,0.224,-1.651,0.387
"1180","DM$developer: LinkGoGame© 2011 LinkgoGame.com",0.293,0.618,0.475,0.635,-0.917,1.504
"1181","DM$developer: Linqsoft Ltd.© 2012 Linqsoft Ltd.",-0.009,0.565,-0.016,0.987,-1.116,1.097
"1182","DM$developer: LiQian Dong© Dong LiQian",0.675,0.56,1.205,0.228,-0.422,1.772
"1183","DM$developer: liu bo© kekestudio",-1.158,0.68,-1.703,0.089,-2.491,0.175
"1184","DM$developer: Liu Jian© DragonInn",1.648,0.679,2.427,0.015,0.317,2.979
"1185","DM$developer: liu nairui© 玖盛时代（北京）网络科技有限公司",-0.872,0.575,-1.516,0.13,-1.999,0.255
"1186","DM$developer: Liu Ping© CreateX Studio",0.373,0.498,0.749,0.454,-0.603,1.35
"1187","DM$developer: liu yanli© Creative Workshop",-0.862,0.624,-1.381,0.167,-2.084,0.361
"1188","DM$developer: Liwei Zheng© AppTao Inc,",0.004,0.521,0.008,0.994,-1.017,1.025
"1189","DM$developer: lnblnb555",-0.385,0.59,-0.652,0.515,-1.542,0.772
"1190","DM$developer: LOCOJOY© LOCOJOY",-4.104,0.588,-6.978,0,-5.256,-2.951
"1191","DM$developer: Lofopi Ltd© LOFOPI Ltd",-0.043,0.548,-0.079,0.937,-1.116,1.03
"1192","DM$developer: Logicball Network Tech LTD© 2012 Logic Ball Inc.",-0.446,0.542,-0.822,0.411,-1.509,0.617
"1193","DM$developer: LogMeIn, Inc.© LogMeIn, Inc.",0.101,0.623,0.163,0.871,-1.119,1.322
"1194","DM$developer: LU DIANJUN© 广州维动",-0.234,0.616,-0.38,0.704,-1.441,0.972
"1195","DM$developer: Lucid Dreams LLC© 2012 Lucid Dreams LLC",0.295,0.549,0.537,0.591,-0.781,1.372
"1196","DM$developer: luck zhongda© zhongda",-0.496,0.538,-0.923,0.356,-1.55,0.557
"1197","DM$developer: LuckyLabs",1.861,0.59,3.153,0.002,0.704,3.018
"1198","DM$developer: Ludia© 2011-2012 Ludia Inc. All rights reserved. The Family Feud is a trademark of FremantleMedia Operations BV. Licensed by FremantleMedia Enterprises. www.fremantlemedia.com©2010 FremantleMedia North America, Inc. All rights reserved. The F",-1.038,0.585,-1.773,0.076,-2.186,0.109
"1199","DM$developer: LudiaJurassic Park: Builder software © 2012 Ludia Inc. Jurassic Park is a trademark copyright of Universal Studios and Amblin Entertainment, Inc. Licensed by Universal Studios Licensing LLC. All Rights Reserved.",-0.51,0.502,-1.015,0.31,-1.494,0.475
"1200","DM$developer: Luminant Software, Inc© Luminant Software",-0.025,0.592,-0.042,0.966,-1.186,1.136
"1201","DM$developer: Lumos Labs, Inc.© Lumos Labs, Inc.",-2.243,0.517,-4.337,0,-3.257,-1.229
"1202","DM$developer: lv miao© Rye Studio™",-0.29,0.83,-0.35,0.727,-1.916,1.336
"1203","DM$developer: M HOTEL© m2hotel",-2.458,0.551,-4.458,0,-3.539,-1.378
"1204","DM$developer: ma gang© MagicApp",0.17,0.551,0.309,0.757,-0.91,1.25
"1205","DM$developer: Maciek Drejak Labs© 2010 Maciek Drejak Labs AB",-1.198,0.51,-2.349,0.019,-2.197,-0.198
"1206","DM$developer: MacroPinch ltd.© 2011-2012 MacroPinch Ltd.",-0.262,0.534,-0.491,0.624,-1.308,0.784
"1207","DM$developer: MADFINGER Games, a.s.© MADFINGER Games, a.s.",-0.216,0.827,-0.261,0.794,-1.836,1.405
"1208","DM$developer: MADFINGER Games, a.s.© MADFINGER Games. a.s.",0.478,0.502,0.951,0.342,-0.507,1.463
"1209","DM$developer: MAG Interactive",-1.974,0.576,-3.427,0.001,-3.103,-0.845
"1210","DM$developer: Magic Mirror LLC© Magic Mirror LLC",0.18,0.517,0.348,0.728,-0.833,1.193
"1211","DM$developer: MagicBone",0.937,0.857,1.093,0.274,-0.743,2.618
"1212","DM$developer: Magma Mobile",0.858,0.543,1.58,0.114,-0.207,1.923
"1213","DM$developer: manqing ji© iMonkey",-0.351,0.623,-0.563,0.573,-1.573,0.871
"1214","DM$developer: Mariah Media Network LLC© Mariah Media Network LLC",-0.331,0.623,-0.531,0.595,-1.553,0.891
"1215","DM$developer: Mark Raykhenberg© 2012 OranginalPlan",-0.477,0.553,-0.863,0.388,-1.562,0.607
"1216","DM$developer: Martha Stewart Living Omnimedia, Inc© 2012 by Happy™ and Martha Stewart Living Omnimedia, Inc. All rights reserved.",-0.956,0.624,-1.532,0.126,-2.18,0.267
"1217","DM$developer: Martin Smith© Game Lingo LLC,.",-0.82,0.518,-1.583,0.113,-1.836,0.195
"1218","DM$developer: Marvel Entertainment© & TM 2011 Marvel & Subs. www.marvel.com",0.796,0.827,0.963,0.336,-0.825,2.417
"1219","DM$developer: Marvel Entertainment© & TM 2012 Marvel & Subs. www.marvel.com",0.545,0.544,1.002,0.316,-0.521,1.611
"1220","DM$developer: Marvel Games",2.258,0.716,3.154,0.002,0.855,3.661
"1221","DM$developer: massfior lion© MASS INC",-1.945,0.518,-3.757,0,-2.96,-0.93
"1222","DM$developer: Matsvei Tsimashenka© 2011-2012 iCandyApps",-1.775,0.59,-3.009,0.003,-2.931,-0.619
"1223","DM$developer: Matsvei Tsimashenka© 2012 iCandyApps",-0.998,0.834,-1.198,0.231,-2.633,0.636
"1224","DM$developer: Max MP",1.462,0.571,2.558,0.011,0.342,2.582
"1225","DM$developer: Max Stage© Fun & Dream",-0.097,0.539,-0.179,0.858,-1.153,0.96
"1226","DM$developer: Max Stage© Max Stage",-0.005,0.679,-0.008,0.994,-1.336,1.325
"1227","DM$developer: maxelus.net",0.305,0.618,0.494,0.621,-0.906,1.516
"1228","DM$developer: McAfee Mobile Security",1.103,0.596,1.851,0.064,-0.065,2.271
"1229","DM$developer: MCC bvba© MCC bvba",-1.747,0.831,-2.103,0.035,-3.376,-0.119
"1230","DM$developer: Media Agency Mentals LLC© Playfo",0.156,0.551,0.283,0.777,-0.924,1.236
"1231","DM$developer: Mediocre",0.118,0.561,0.21,0.834,-0.981,1.217
"1232","DM$developer: Mediocre AB© Mediocre AB",-0.107,0.499,-0.215,0.83,-1.084,0.87
"1233","DM$developer: MEDL Mobile, Inc.© MEDL Mobile Inc.",0.149,0.675,0.221,0.825,-1.174,1.472
"1234","DM$developer: MEET Studio",0.323,0.659,0.491,0.624,-0.968,1.615
"1235","DM$developer: MEET Studio CO.,LTD.© 2010 MEET Studio",0.407,0.574,0.71,0.478,-0.717,1.532
"1236","DM$developer: MEET Studio CO.,LTD.© MEET Studio CO.,LTD.",0.042,0.553,0.076,0.939,-1.041,1.125
"1237","DM$developer: Mehrdad Mehrain© 2012 Health Xperts Inc",-0.678,0.551,-1.232,0.218,-1.758,0.401
"1238","DM$developer: mei toli© 2012 tolimei inc.",-0.018,0.517,-0.034,0.973,-1.032,0.997
"1239","DM$developer: meituan.com",-0.778,0.864,-0.901,0.368,-2.471,0.915
"1240","DM$developer: Melimots",-0.947,0.589,-1.608,0.108,-2.101,0.208
"1241","DM$developer: Melsoft© Melesta",0.221,0.527,0.42,0.675,-0.812,1.254
"1242","DM$developer: Memento Apps",0.852,0.664,1.282,0.2,-0.45,2.154
"1243","DM$developer: Meng Yang© soft5a",-0.462,0.586,-0.789,0.43,-1.61,0.686
"1244","DM$developer: Meng Yang© soft5a 2011",-1.185,0.542,-2.188,0.029,-2.247,-0.123
"1245","DM$developer: Meng Yang© soft5a@2011",-1.099,0.827,-1.329,0.184,-2.719,0.521
"1246","DM$developer: menschmaschine Publishing GmbH© 2012 menschmaschine Publishing GmbH",-0.63,0.624,-1.009,0.313,-1.854,0.594
"1247","DM$developer: Meredith Corporation© Meredith Corporation",-0.044,0.593,-0.075,0.94,-1.207,1.118
"1248","DM$developer: Merriam-Webster, Inc.© 2011 Merriam-Webster, Inc.",-1.175,0.548,-2.145,0.032,-2.248,-0.101
"1249","DM$developer: Merriam-Webster, Inc.© 2012 Merriam-Webster, Inc.",-0.268,0.523,-0.513,0.608,-1.292,0.756
"1250","DM$developer: MHGames / Mika Halttunen",1.17,0.589,1.987,0.047,0.016,2.324
"1251","DM$developer: micko",-2.241,0.619,-3.621,0,-3.454,-1.028
"1252","DM$developer: Microsoft + SEVEN",1.307,0.573,2.282,0.022,0.184,2.429
"1253","DM$developer: Microsoft Corporation",0.753,0.568,1.327,0.185,-0.359,1.866
"1254","DM$developer: Microsoft Corporation© (c) 2012 Microsoft. All rights reserved.",-0.273,0.502,-0.543,0.587,-1.256,0.711
"1255","DM$developer: Microsoft Corporation© 2011 Microsoft. All rights reserved.",0.126,0.567,0.222,0.824,-0.986,1.238
"1256","DM$developer: Midverse Studios, LLC© 2012 Midverse Studios, Inc.",0.282,0.615,0.459,0.646,-0.923,1.488
"1257","DM$developer: Mika Mobile, Inc.© 2011 Mika Mobile, Inc.",-0.446,0.515,-0.866,0.387,-1.455,0.563
"1258","DM$developer: Ming Yang© senhaibiaomiao studio",-0.179,0.542,-0.331,0.741,-1.241,0.882
"1259","DM$developer: Miniclip SA© Miniclip Games",-0.114,0.498,-0.23,0.818,-1.091,0.862
"1260","DM$developer: minm li© bosseye",0.329,0.623,0.528,0.597,-0.892,1.549
"1261","DM$developer: MinoMonsters Inc.© MinoMonsters, Inc. 2012",-0.294,0.527,-0.558,0.577,-1.328,0.739
